taxid,name,rank,lineage_name,lineage_id
78439,Planctoteuthis danae,species,Teuthida//Oegopsina//Chiroteuthidae//Planctoteuthis//Planctoteuthis danae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61694//78438//78439
78440,Afrololigo mercatoris,species,Teuthida//Myopsina//Loliginidae//Afrololigo//Afrololigo mercatoris,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//552060//78440
93039,Neoteuthidae,family,Teuthida//Oegopsina//Neoteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//93039
93040,Alluroteuthis,genus,Teuthida//Oegopsina//Neoteuthidae//Alluroteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//93039//93040
93041,Alluroteuthis antarcticus,species,Teuthida//Oegopsina//Neoteuthidae//Alluroteuthis//Alluroteuthis antarcticus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//93039//93040//93041
93042,Psychroteuthis,genus,Teuthida//Oegopsina//Onychoteuthidae//Psychroteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//93042
93043,Psychroteuthis glacialis,species,Teuthida//Oegopsina//Onychoteuthidae//Psychroteuthis//Psychroteuthis glacialis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//93042//93043
93044,Lycoteuthidae,family,Teuthida//Oegopsina//Lycoteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//93044
93045,Lycoteuthis,genus,Teuthida//Oegopsina//Lycoteuthidae//Lycoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//93044//93045
93046,Lycoteuthis lorigera,species,Teuthida//Oegopsina//Lycoteuthidae//Lycoteuthis//Lycoteuthis lorigera,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//93044//93045//93046
93047,Gonatus fabricii,species,Teuthida//Oegopsina//Gonatidae//Gonatus//Gonatus fabricii,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//61711//93047
93048,Gonatopsis,genus,Teuthida//Oegopsina//Gonatidae//Gonatopsis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//93048
93049,Gonatopsis borealis,species,Teuthida//Oegopsina//Gonatidae//Gonatopsis//Gonatopsis borealis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//93048//93049
94907,Gonatus californiensis,species,Teuthida//Oegopsina//Gonatidae//Gonatus//Gonatus californiensis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//61711//94907
109628,Illex coindetii,species,Teuthida//Oegopsina//Ommastrephidae//Illex//Illex coindetii,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6627//109628
109629,Todaropsis,genus,Teuthida//Oegopsina//Ommastrephidae//Todaropsis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//109629
109630,Todaropsis eblanae,species,Teuthida//Oegopsina//Ommastrephidae//Todaropsis//Todaropsis eblanae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//109629//109630
126371,Abralia sp. DC-2000,species,Teuthida//Oegopsina//Enoploteuthidae//Abralia//Abralia sp. DC-2000,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34549//126371
181015,Symplectoteuthis,genus,Teuthida//Oegopsina//Ommastrephidae//Symplectoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//181015
184220,unclassified Loligo,no rank,Teuthida//Myopsina//Loliginidae//Loligo//unclassified Loligo,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//6616//184220
184221,Loligo sp. AL9407-Loligo-1K,species,Teuthida//Myopsina//Loliginidae//Loligo//unclassified Loligo//Loligo sp. AL9407-Loligo-1K,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//6616//184220//184221
184222,unclassified Illex,no rank,Teuthida//Oegopsina//Ommastrephidae//Illex//unclassified Illex,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6627//184222
184223,Illex sp. AL9407-Illex-2K,species,Teuthida//Oegopsina//Ommastrephidae//Illex//unclassified Illex//Illex sp. AL9407-Illex-2K,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6627//184222//184223
185016,Enoploteuthis sp. BL-2001,species,Teuthida//Oegopsina//Enoploteuthidae//Enoploteuthis//Enoploteuthis sp. BL-2001,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34545//185016
200939,Todarodes sagittatus,species,Teuthida//Oegopsina//Ommastrephidae//Todarodes//Todarodes sagittatus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6636//200939
211851,Histioteuthis sp. YJP-2002,species,Teuthida//Oegopsina//Histioteuthidae//Histioteuthis//Histioteuthis sp. YJP-2002,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//34558//211851
212692,Abraliopsis sp. YJP-2002,species,Teuthida//Oegopsina//Enoploteuthidae//Abraliopsis//Abraliopsis sp. YJP-2002,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34547//212692
215436,Histioteuthis miranda,species,Teuthida//Oegopsina//Histioteuthidae//Histioteuthis//Histioteuthis miranda,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//34558//215436
215437,Martialia,genus,Teuthida//Oegopsina//Ommastrephidae//Martialia,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//215437
215438,Martialia hyadesi,species,Teuthida//Oegopsina//Ommastrephidae//Martialia//Martialia hyadesi,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//215437//215438
215439,Todarodes angolensis,species,Teuthida//Oegopsina//Ommastrephidae//Todarodes//Todarodes angolensis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6636//215439
215440,Nototodarus sloanii,species,Teuthida//Oegopsina//Ommastrephidae//Nototodarus//Nototodarus sloanii,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6630//215440
215441,Architeuthis sp. SJ-2002,species,Teuthida//Oegopsina//Architeuthidae//Architeuthis//Architeuthis sp. SJ-2002,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//34555//215441
215442,Photololigo,genus,Teuthida//Myopsina//Loliginidae//Photololigo,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//215442
215443,Photololigo sp. SJ-2002,species,Teuthida//Myopsina//Loliginidae//Photololigo//Photololigo sp. SJ-2002,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//215442//215443
215445,Taningia,genus,Teuthida//Oegopsina//Octopoteuthidae//Taningia,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61732//215445
215446,Taningia danae,species,Teuthida//Oegopsina//Octopoteuthidae//Taningia//Taningia danae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61732//215445//215446
248766,Architeuthis sp. BED-2003,species,Teuthida//Oegopsina//Architeuthidae//Architeuthis//Architeuthis sp. BED-2003,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//34555//248766
255561,Histioteuthis sp. Spain-WK,species,Teuthida//Oegopsina//Histioteuthidae//Histioteuthis//Histioteuthis sp. Spain-WK,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//34558//255561
256136,Architeuthis dux,species,Teuthida//Oegopsina//Architeuthidae//Architeuthis//Architeuthis dux,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//34555//256136
279083,Bathyteuthis berryi,species,Teuthida//Oegopsina//Bathyteuthidae//Bathyteuthis//Bathyteuthis berryi,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61691//61692//279083
279084,Joubiniteuthis sp. JMS-2004,species,Teuthida//Oegopsina//Joubiniteuthidae//Joubiniteuthis//Joubiniteuthis sp. JMS-2004,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61719//61720//279084
279085,Photololigo sp. JMS-2004,species,Teuthida//Myopsina//Loliginidae//Photololigo//Photololigo sp. JMS-2004,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//215442//279085
279086,Loliolus sp. JMS-2004,species,Teuthida//Myopsina//Loliginidae//Loliolus//Loliolus sp. JMS-2004,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//55717//279086
279095,Histioteuthis oceanica,species,Teuthida//Oegopsina//Histioteuthidae//Histioteuthis//Histioteuthis oceanica,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//34558//279095
279096,Abraliopsis pacificus,species,Teuthida//Oegopsina//Enoploteuthidae//Abraliopsis//Abraliopsis pacificus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34547//279096
279097,Galiteuthis,genus,Teuthida//Oegopsina//Cranchiidae//Galiteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560//279097
279098,Galiteuthis sp. JMS-2004,species,Teuthida//Oegopsina//Cranchiidae//Galiteuthis//Galiteuthis sp. JMS-2004,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560//279097//279098
279099,Megalocranchia,genus,Teuthida//Oegopsina//Cranchiidae//Megalocranchia,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560//279099
279100,Megalocranchia fisheri,species,Teuthida//Oegopsina//Cranchiidae//Megalocranchia//Megalocranchia fisheri,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560//279099//279100
279101,Teuthowenia,genus,Teuthida//Oegopsina//Cranchiidae//Teuthowenia,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560//279101
279102,Teuthowenia megalops,species,Teuthida//Oegopsina//Cranchiidae//Teuthowenia//Teuthowenia megalops,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560//279101//279102
279106,Onychoteuthis sp. B3-JMS-2004,species,Teuthida//Oegopsina//Onychoteuthidae//Onychoteuthis//Onychoteuthis sp. B3-JMS-2004,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//61726//279106
279107,Architeuthis sp. JMS-2004,species,Teuthida//Oegopsina//Architeuthidae//Architeuthis//Architeuthis sp. JMS-2004,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//34555//279107
283042,Loligo formosana,species,Teuthida//Myopsina//Loliginidae//Loligo//Loligo formosana,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//6616//283042
283043,Batoteuthidae,family,Teuthida//Oegopsina//Batoteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//283043
283044,Batoteuthis,genus,Teuthida//Oegopsina//Batoteuthidae//Batoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//283043//283044
283045,Batoteuthis skolops,species,Teuthida//Oegopsina//Batoteuthidae//Batoteuthis//Batoteuthis skolops,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//283043//283044//283045
283046,Brachioteuthis sp. ARL-2004,species,Teuthida//Oegopsina//Brachioteuthidae//Brachioteuthis//Brachioteuthis sp. ARL-2004,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61756//61757//283046
283047,Leachia atlantica,species,Teuthida//Oegopsina//Cranchiidae//Leachia//Leachia atlantica,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34560//34561//283047
283048,Abraliopsis pfefferi,species,Teuthida//Oegopsina//Enoploteuthidae//Abraliopsis//Abraliopsis pfefferi,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34547//283048
283049,Enoploteuthis leptura,species,Teuthida//Oegopsina//Enoploteuthidae//Enoploteuthis//Enoploteuthis leptura,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34545//283049
283050,Ornithoteuthis,genus,Teuthida//Oegopsina//Ommastrephidae//Ornithoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//283050
283051,Ornithoteuthis antillarum,species,Teuthida//Oegopsina//Ommastrephidae//Ornithoteuthis//Ornithoteuthis antillarum,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//283050//283051
283052,Pterygioteuthis gemmata,species,Teuthida//Oegopsina//Enoploteuthidae//Pterygioteuthis//Pterygioteuthis gemmata,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6623//34543//283052
283053,Pyroteuthis margaritifera,species,Teuthida//Oegopsina//Pyroteuthidae//Pyroteuthis//Pyroteuthis margaritifera,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61738//61739//283053
283054,Gonatus antarcticus,species,Teuthida//Oegopsina//Gonatidae//Gonatus//Gonatus antarcticus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//61711//283054
283055,Histioteuthis corona,species,Teuthida//Oegopsina//Histioteuthidae//Histioteuthis//Histioteuthis corona,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//34558//283055
283056,Histioteuthis reversa,species,Teuthida//Oegopsina//Histioteuthidae//Histioteuthis//Histioteuthis reversa,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34557//34558//283056
283058,Neoteuthis,genus,Teuthida//Oegopsina//Neoteuthidae//Neoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//93039//283058
283059,Neoteuthis thielei,species,Teuthida//Oegopsina//Neoteuthidae//Neoteuthis//Neoteuthis thielei,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//93039//283058//283059
283060,Octopoteuthis sicula,species,Teuthida//Oegopsina//Octopoteuthidae//Octopoteuthis//Octopoteuthis sicula,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61732//61733//283060
283369,Psychroteuthis sp. ARL-2004,species,Teuthida//Oegopsina//Onychoteuthidae//Psychroteuthis//Psychroteuthis sp. ARL-2004,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//93042//283369
294703,Berryteuthis,genus,Teuthida//Oegopsina//Gonatidae//Berryteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//294703
294704,Berryteuthis magister,species,Teuthida//Oegopsina//Gonatidae//Berryteuthis//Berryteuthis magister,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//294703//294704
309545,Eucleoteuthis,genus,Teuthida//Oegopsina//Ommastrephidae//Eucleoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//309545
309546,Eucleoteuthis luminosa,species,Teuthida//Oegopsina//Ommastrephidae//Eucleoteuthis//Eucleoteuthis luminosa,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//309545//309546
309582,Gonatopsis japonicus,species,Teuthida//Oegopsina//Gonatidae//Gonatopsis//Gonatopsis japonicus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//93048//309582
309583,Gonatopsis octopedatus,species,Teuthida//Oegopsina//Gonatidae//Gonatopsis//Gonatopsis octopedatus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//93048//309583
309586,Gonatopsis sp. 01 OK-2005,species,Teuthida//Oegopsina//Gonatidae//Gonatopsis//Gonatopsis sp. 01 OK-2005,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//93048//309586
309590,Gonatus kamtschaticus,species,Teuthida//Oegopsina//Gonatidae//Gonatus//Gonatus kamtschaticus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//61711//309590
309591,Gonatus cf. onyx OK-2005,species,Teuthida//Oegopsina//Gonatidae//Gonatus//Gonatus cf. onyx OK-2005,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//61711//309591
309592,Gonatus madokai,species,Teuthida//Oegopsina//Gonatidae//Gonatus//Gonatus madokai,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//61711//309592
309596,Gonatus pyros,species,Teuthida//Oegopsina//Gonatidae//Gonatus//Gonatus pyros,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//61711//309596
309597,Gonatus cf. kamtschaticus 03,species,Teuthida//Oegopsina//Gonatidae//Gonatus//Gonatus cf. kamtschaticus 03,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//61711//309597
309598,Gonatus cf. kamtschaticus 06,species,Teuthida//Oegopsina//Gonatidae//Gonatus//Gonatus cf. kamtschaticus 06,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//61711//309598
309599,Gonatus cf. kamtschaticus 07,species,Teuthida//Oegopsina//Gonatidae//Gonatus//Gonatus cf. kamtschaticus 07,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//61711//309599
310039,Onychoteuthis sp. OC7-1,species,Teuthida//Oegopsina//Onychoteuthidae//Onychoteuthis//Onychoteuthis sp. OC7-1,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//61726//310039
346248,Dosidicus,genus,Teuthida//Oegopsina//Ommastrephidae//Dosidicus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//346248
346249,Dosidicus gigas,species,Teuthida//Oegopsina//Ommastrephidae//Dosidicus//Dosidicus gigas,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//346248//346249
370612,Illex cf. illecebrosus DBC-2006,species,Teuthida//Oegopsina//Ommastrephidae//Illex//Illex cf. illecebrosus DBC-2006,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6627//370612
370613,Illex cf. oxygonius DBC-2006,species,Teuthida//Oegopsina//Ommastrephidae//Illex//Illex cf. oxygonius DBC-2006,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6627//370613
370614,Illex cf. coindetii DBC-2006,species,Teuthida//Oegopsina//Ommastrephidae//Illex//Illex cf. coindetii DBC-2006,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6627//370614
392295,Onychoteuthis borealijaponica,species,Teuthida//Oegopsina//Onychoteuthidae//Onychoteuthis//Onychoteuthis borealijaponica,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//61726//392295
392296,Onychoteuthis banksii,species,Teuthida//Oegopsina//Onychoteuthidae//Onychoteuthis//Onychoteuthis banksii,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//61726//392296
392297,Onykia sp. A 50-1,species,Teuthida//Oegopsina//Onychoteuthidae//Onykia//Onykia sp. A 50-1,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//72288//392297
392301,Moroteuthis lonnbergii,species,Teuthida//Oegopsina//Onychoteuthidae//Moroteuthis//Moroteuthis lonnbergii,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34565//34566//392301
400658,Ornithoteuthis volatilis,species,Teuthida//Oegopsina//Ommastrephidae//Ornithoteuthis//Ornithoteuthis volatilis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//283050//400658
400659,Sthenoteuthis pteropus,species,Teuthida//Oegopsina//Ommastrephidae//Sthenoteuthis//Sthenoteuthis pteropus,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//34552//400659
445032,Nototodarus sp. GD-2007,species,Teuthida//Oegopsina//Ommastrephidae//Nototodarus//Nototodarus sp. GD-2007,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//6626//6630//445032
493913,Mastigoteuthis sp. M1 ARL-2008,species,Teuthida//Oegopsina//Mastigoteuthidae//Mastigoteuthis//Mastigoteuthis sp. M1 ARL-2008,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61729//61730//493913
502368,Asperoteuthis,genus,Teuthida//Oegopsina//Chiroteuthidae//Asperoteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61694//502368
502369,Asperoteuthis nesisi,species,Teuthida//Oegopsina//Chiroteuthidae//Asperoteuthis//Asperoteuthis nesisi,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61694//502368//502369
502373,Asperoteuthis acanthoderma,species,Teuthida//Oegopsina//Chiroteuthidae//Asperoteuthis//Asperoteuthis acanthoderma,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61694//502368//502373
502375,Asperoteuthis mangoldae,species,Teuthida//Oegopsina//Chiroteuthidae//Asperoteuthis//Asperoteuthis mangoldae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61694//502368//502375
502377,Asperoteuthis lui,species,Teuthida//Oegopsina//Chiroteuthidae//Asperoteuthis//Asperoteuthis lui,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61694//502368//502377
517129,environmental samples,no rank,Teuthida//Oegopsina//Gonatidae//Berryteuthis//environmental samples,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//294703//517129
517130,Berryteuthis environmental sample,species,Teuthida//Oegopsina//Gonatidae//Berryteuthis//environmental samples//Berryteuthis environmental sample,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//294703//517129//517130
517188,Gonatus sp. ADS-2008,species,Teuthida//Oegopsina//Gonatidae//Gonatus//Gonatus sp. ADS-2008,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61710//61711//517188
549390,Alloteuthis africana,species,Teuthida//Myopsina//Loliginidae//Alloteuthis//Alloteuthis africana,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//552058//549390
549391,Alloteuthis media,species,Teuthida//Myopsina//Loliginidae//Alloteuthis//Alloteuthis media,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//552058//549391
551347,Myopsina,suborder,Teuthida//Myopsina,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347
551364,Magnapinnidae,family,Teuthida//Oegopsina//Magnapinnidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//551364
551367,Walvisteuthidae,family,Teuthida//Oegopsina//Walvisteuthidae,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//551367
552058,Alloteuthis,genus,Teuthida//Myopsina//Loliginidae//Alloteuthis,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//552058
552060,Afrololigo,genus,Teuthida//Myopsina//Loliginidae//Afrololigo,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//551347//6615//552060
559516,Architeuthis sp. ARL-2008,species,Teuthida//Oegopsina//Architeuthidae//Architeuthis//Architeuthis sp. ARL-2008,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//34554//34555//559516
559517,Bathyteuthis sp. A ARL-2008,species,Teuthida//Oegopsina//Bathyteuthidae//Bathyteuthis//Bathyteuthis sp. A ARL-2008,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61691//61692//559517
559518,Brachioteuthis sp. 1 ARL-2008,species,Teuthida//Oegopsina//Brachioteuthidae//Brachioteuthis//Brachioteuthis sp. 1 ARL-2008,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61756//61757//559518
559519,Brachioteuthis sp. 2 ARL-2008,species,Teuthida//Oegopsina//Brachioteuthidae//Brachioteuthis//Brachioteuthis sp. 2 ARL-2008,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61756//61757//559519
559520,Brachioteuthis sp. 3 ARL-2008,species,Teuthida//Oegopsina//Brachioteuthidae//Brachioteuthis//Brachioteuthis sp. 3 ARL-2008,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61756//61757//559520
559521,Chtenopteryx sp. ARL-2008,species,Teuthida//Oegopsina//Chtenopterygidae//Chtenopteryx//Chtenopteryx sp. ARL-2008,1//131567//2759//33154//33208//6072//33213//33317//1206795//6447//6605//6606//215449//215450//551290//34542//61697//61698//559521
